C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_223.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_223.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_223.jpg,0,0,0,7.660739
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_303.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_303.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_303.jpg,0,0,0,7.599172
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_377.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_377.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_377.jpg,0,0,0,7.5381
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_452.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_452.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_452.jpg,0,0,0,7.477519
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_525.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_525.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_525.jpg,0,0,0,7.432402
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_595.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_595.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_595.jpg,0,0,0,7.372669
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_667.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_667.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_667.jpg,0,0,0,7.313418
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_735.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_735.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_735.jpg,0,0,0,7.269293
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_804.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_804.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_804.jpg,0,0,0,7.225434
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_872.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_872.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_872.jpg,0,0,0,7.167367
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_56_943.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_56_943.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_56_943.jpg,0,0,0,7.124123
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_57_012.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_57_012.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_57_012.jpg,0,0,0,7.066869
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_57_082.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_57_082.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_57_082.jpg,0,0,0,7.024231
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_57_153.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_57_153.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_57_153.jpg,0,0,0,6.967782
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_57_221.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_57_221.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_57_221.jpg,-0.1,0,0,6.923802
C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\center_2022_11_02_22_50_57_293.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\left_2022_11_02_22_50_57_293.jpg,C:\Users\suraj\Desktop\MinorProjectNITP2022\IMG\right_2022_11_02_22_50_57_293.jpg,-0.3,0.1296678,0,6.894641
